Code,Taxon,Specimen,NewLabel
PH1205,Pheidole.gf017,CASENT0738796,Pheidole_gf017_CASENT0738796
PH1206,Pheidole.gf015,CASENT0738797,Pheidole_gf015_CASENT0738797
PH1208,Pheidole.gf011,CASENT0738799,Pheidole_gf011_CASENT0738799
PH1210,Pheidole.mg064,CASENT0738801,Pheidole_mg064_CASENT0738801
PH1213,Pheidole.indica,CASENT0738804,Pheidole_indica_CASENT0738804
PH1217,Pheidole.mg043,CASENT0738808,Pheidole_mg043_CASENT0738808
PH1218,Pheidole.mg066,CASENT0738809,Pheidole_mg066_CASENT0738809
PH1223,Pheidole.braueri,CASENT0738814,Pheidole_braueri_CASENT0738814
PH1225,Pheidole.komori,CASENT0738816,Pheidole_komori_CASENT0738816
PH1227,Pheidole.megatron,CASENT0738818,Pheidole_megatron_CASENT0738818
PH1228,Pheidole.mg054,CASENT0738819,Pheidole_mg054_CASENT0738819
PH1229,Pheidole.mg056,CASENT0738820,Pheidole_mg056_CASENT0738820
PH1230,Pheidole.gf062,CASENT0738821,Pheidole_gf062_CASENT0738821
PH1231,Pheidole.gf073,CASENT0738822,Pheidole_gf073_CASENT0738822
PH1240,Pheidole.gf078,CASENT0738831,Pheidole_gf078_CASENT0738831
PH1242,Pheidole.gf063,CASENT0738833,Pheidole_gf063_CASENT0738833
PH1246,Pheidole.athertonensis.cedarensis,CASENT0738837,Pheidole_athertonensis_cedarensis_CASENT0738837
PH1248,Pheidole.aglae,CASENT0738839,Pheidole_aglae_CASENT0738839
PH125,Pheidole.epem097,CASENT0283821,Pheidole_epem097_CASENT0283821
PH1250,Pheidole.gf038,CASENT0738841,Pheidole_gf038_CASENT0738841
PH1251,Pheidole.gf071,CASENT0738842,Pheidole_gf071_CASENT0738842
PH1252,Pheidole.gf064,CASENT0738843,Pheidole_gf064_CASENT0738843
PH1253,Pheidole.gf065,CASENT0738844,Pheidole_gf065_CASENT0738844
PH1258,Pheidole.nemoralis,CASENT0283759,Pheidole_nemoralis_CASENT0283759
PH126,Pheidole.emsm170,CASENT0283815,Pheidole_emsm170_CASENT0283815
PH1261,Pheidole.medioflava,CASENT0283575,Pheidole_medioflava_CASENT0283575
PH1262,Pheidole.emsm162,CASENT0283595,Pheidole_emsm162_CASENT0283595
PH127,Pheidole.laminata,CASENT0283823,Pheidole_laminata_CASENT0283823
PH128,Pheidole.epem083,CASENT0283824,Pheidole_epem083_CASENT0283824
PH129,Pheidole.epem140,CASENT0199513,Pheidole_epem140_CASENT0199513
PH13,Pheidole.epem020,CASENT0283784,Pheidole_epem020_CASENT0283784
PH1326,Pheidole.nodifera,CASENT0738913,Pheidole_nodifera_CASENT0738913
PH133,Pheidole.epem026,CASENT0199492,Pheidole_epem026_CASENT0199492
PH1337,Pheidole.gf027,CASENT0738924,Pheidole_gf027_CASENT0738924
