Family,genus,species
Formicidae,Kalathomyrmex,Kalathomyrmex emeryi
Formicidae,Kempfidris,Kempfidris inusualis
Formicidae,Lathidris,Lathidris melina
Formicidae,Lathidris,Lathidris montivaga
Formicidae,Lathidris,Lathidris rectithorax
Formicidae,Liomyrmex,Liomyrmex gestroi
Formicidae,Loweriella,Loweriella boltoni
Formicidae,Malagidris,Malagidris alperti
Formicidae,Malagidris,Malagidris belti
Formicidae,Malagidris,Malagidris dulcis
Formicidae,Malagidris,Malagidris galokoa
Formicidae,Malagidris,Malagidris jugum
Formicidae,Malagidris,Malagidris sofina
Formicidae,Martialis,Martialis heureka
Formicidae,Megaponera,Megaponera analis
Formicidae,Melissotarsus,Melissotarsus beccarii
Formicidae,Melissotarsus,Melissotarsus emeryi
Formicidae,Melissotarsus,Melissotarsus insularis
Formicidae,Melissotarsus,Melissotarsus weissi
Formicidae,Metalasius,Metalasius myrmidon
Formicidae,Myopopone,Myopopone castanea
Formicidae,Myrcidris,Myrcidris epicharis
Formicidae,Nebothriomyrmex,Nebothriomyrmex majeri
Formicidae,Neocerapachys,Neocerapachys neotropicus
Formicidae,Neocerapachys,Neocerapachys splendens
Formicidae,Nomamyrmex,Nomamyrmex esenbeckii
Formicidae,Nomamyrmex,Nomamyrmex hartigii
Formicidae,Nothomyrmecia,Nothomyrmecia macrops
Formicidae,Novomessor,Novomessor albisetosus
Formicidae,Novomessor,Novomessor cockerelli
Formicidae,Novomessor,Novomessor ensifer
Formicidae,Ochetomyrmex,Ochetomyrmex neopolitus
Formicidae,Ochetomyrmex,Ochetomyrmex semipolitus
Formicidae,Odontoponera,Odontoponera denticulata
Formicidae,Odontoponera,Odontoponera transversa
Formicidae,Opamyrma,Opamyrma hungvuong
Formicidae,Paltothyreus,Paltothyreus tarsatus
Formicidae,Paramycetophylax,Paramycetophylax bruchi
Formicidae,Paraponera,Paraponera clavata
Formicidae,Petalomyrmex,Petalomyrmex phylax
Formicidae,Phalacromyrmex,Phalacromyrmex fugax
Formicidae,Phrynoponera,Phrynoponera bequaerti
Formicidae,Phrynoponera,Phrynoponera gabonensis
Formicidae,Phrynoponera,Phrynoponera pulchella
Formicidae,Phrynoponera,Phrynoponera sveni
Formicidae,Phrynoponera,Phrynoponera transversa
Formicidae,Pilotrochus,Pilotrochus besmerus
Formicidae,Proatta,Proatta butteli
Formicidae,Promyopias,Promyopias silvestrii
Formicidae,Propodilobus,Propodilobus pingorum
Formicidae,Pseudoponera,Pseudoponera cognata
Formicidae,Pseudoponera,Pseudoponera gilberti
Formicidae,Pseudoponera,Pseudoponera gilloglyi
Formicidae,Pseudoponera,Pseudoponera stigma
Formicidae,Pseudoponera,Pseudoponera succedanea
Formicidae,Ravavy,Ravavy miafina
Formicidae,Retalimyrma,Retalimyrma wroughtonii
Formicidae,Rostromyrmex,Rostromyrmex pasohensis
Formicidae,Santschiella,Santschiella kohli
Formicidae,Sritoponera,Sritoponera suspecta
Formicidae,Subiridopone,Subiridopone subiridescens
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 brevicornis
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 laevigatus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 lentus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 ocellatus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 rudis
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 stipulosus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 teledectus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 basispinosus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 careoscrobis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 concavus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 crassispinus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 dusun
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 ferox
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 foveolatus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 glabfemoralis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 humilis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 laevis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 luciolae
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 malikuli
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 mindanao
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 minus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 mizunoi
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 notabilis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 padanensis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 sulawesiensis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 thailandensis
Formicidae,TACTTMPAcanthoponera_Neotropical01,TACTTMPAcanthoponera Neotropical01 goeldii
Formicidae,TACTTMPAcanthoponera_Neotropical01,TACTTMPAcanthoponera Neotropical01 peruviana
Formicidae,TACTTMPAcanthoponera_Neotropical02,TACTTMPAcanthoponera Neotropical02 mucronata
Formicidae,TACTTMPAcanthoponera_Neotropical03,TACTTMPAcanthoponera Neotropical03 minor
Formicidae,TACTTMPAcanthostichus_Nearctic04,TACTTMPAcanthostichus Nearctic04 arizonensis
Formicidae,TACTTMPAcanthostichus_Nearctic04,TACTTMPAcanthostichus Nearctic04 punctiscapus
Formicidae,TACTTMPAcanthostichus_Nearctic05,TACTTMPAcanthostichus Nearctic05 davisi
Formicidae,TACTTMPAcanthostichus_Nearctic05,TACTTMPAcanthostichus Nearctic05 texanus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 brevinodis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 femoralis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 laevigatus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 lattkei
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 longinodis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 quadratus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 serratulus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 skwarrae
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 bentoni
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 flexuosus
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 kirbyi
