taxon,birth,death,ccp,source
TACTTMPAenictogiton_Unknown01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictogiton_Unknown02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Afrotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Afrotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Australasian05,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Australasian07,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Australasian08,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Australasian09,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAenictus_Australasian10,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Australasian14,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan11,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan12,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan13,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan15,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan16,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan18,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan19,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Indomalayan20,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Palearctic03,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Palearctic04,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAenictus_Palearctic17,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAgraulomyrmex_Unknown01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAlfaria_Neotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAlfaria_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAlfaria_Neotropical03,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAlloformica_Unknown01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAllomerus_Neotropical01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAmblyopone_Australasian01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAmblyopone_Australasian02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAmoimyrmex_Neotropical01,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAmoimyrmex_Neotropical02,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAncyridris_Australasian01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnillidris_Unknown01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnillomyrma_Indomalayan01,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Afrotropical01,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical04,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical11,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Afrotropical13,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical16,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Afrotropical17,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Afrotropical20,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical21,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Afrotropical22,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical23,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical24,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical25,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical26,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Afrotropical28,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Australasian05,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Australasian06,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Australasian07,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Australasian15,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Australasian47,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Indomalayan14,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan27,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan46,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan48,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan49,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan50,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Indomalayan52,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Indomalayan53,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Malagasy08,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Malagasy09,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Malagasy12,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Malagasy18,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Malagasy19,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical29,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical31,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Neotropical32,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical33,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Neotropical34,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical35,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Neotropical36,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Neotropical37,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Neotropical38,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
TACTTMPAnochetus_Neotropical39,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical40,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical41,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical42,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical43,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
TACTTMPAnochetus_Neotropical44,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
TACTTMPAnochetus_Neotropical45,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
