Extraction Code	Taxon	Specimen Code
PH997	Pheidole.jtl195	CASENT0636646
PH998	Pheidole.branstetteri	CASENT0636645
PH999	Pheidole.jtl203	CASENT0636644
RA0116	Pheidole.sospes	CASENT0339824
RA0142	Pheidole.obscurithorax	CASENT0283225
RA0146	Pheidole.californica	CASENT0283226
RA0150	Pheidole.minutula	CASENT0283227
RA0153	Pheidole.boruca	CASENT0283228
RA0155	Pheidole.absurda	CASENT0283230
RA0156	Pheidole.dossena	CASENT0283231
RA0163	Pheidole.erratilis	CASENT0283245
RA0164	Pheidole.diana	CASENT0283246
RA0165	Pheidole.browni	CASENT0283247
RA0166	Pheidole.sicaria	CASENT0283248
RA0169	Pheidole.rugulosa	CASENT0283251
RA0170	Pheidole.sebofila	CASENT0283252
RA0171	Pheidole.biconstricta	CASENT0283253
RA0172	Pheidole.sensitiva	CASENT0283254
RA0173	Pheidole.violacea	CASENT0283255
RA0174	Pheidole.cocciphaga	CASENT0283256
RA0175	Pheidole.innupta	CASENT0283257
RA0176	Pheidole.boltoni	CASENT0283258
RA0177	Pheidole.picobarva	CASENT0283259
RA0179	Pheidole.nitella	CASENT0283261
RA0181	Pheidole.rhinoceros	CASENT0283263
RA0182	Pheidole.fiorii	CASENT0283264
RA0183	Pheidole.nitidicollis	CASENT0283265
RA0184	Pheidole.prostrata	CASENT0283267
RA0203	Pheidole.pilifera	CASENT0283270
RA0204	Pheidole.sciophila	CASENT0283271
RA0208	Pheidole.vistana	CASENT0283272
RA0244	Pheidole.jelskii	CASENT0283274
RA0316	Pheidole.mg107	CASENT0077599
RA0317	Pheidole.megacephala.spinosa	CASENT0498508
RA0331	Pheidole.floridana	CASENT0283280
RA0332	Pheidole.adrianoi	CASENT0283281
RA0337	Pheidole.sitiens	CASENT0283284
RA0379	Pheidole.spadonia	CASENT0283288
RA0380	Pheidole.cerebrosior	CASENT0283289
RA0451	Pheidole.tepicana	CASENT0283292
RA0456	Pheidole.clydei	CASENT0283293
