n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	chronos_status	chronos_reason	chronos_model	chronos_lambda	chronos_rate_cat	chronos_PHIIC	chronos_logLik	chronos_converged	chronos_ranking_criterion	n_chronos_trials	stem_mode	target_type	target_label	retained_tip	backbone_index
46	Pseudomyrmex_boopis	3.90926	0.0711187292697871	0.928881270730213	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Tetraponera	NA	1
2	Santschiella_kohli	64.2579	0.95582276628254	0.0441772337174599	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Oecophylla	NA	1
37	Manica_bradleyi	21.6466	0.468781421680265	0.531218578319735	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Myrmica_wheeleri,Myrmica_fracticornis	Myrmica_americana	1
38	Calyptomyrmex_beccarii	25.3604	0.358895203262951	0.641104796737049	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Tetramorium_taylori,Tetramorium_validiusculum	Strongylognathus_testaceus	1
9	Nesomyrmex_echinatinodis	54.8484	0.728423635177165	0.271576364822835	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Cardiocondyla_mauritanica,Cardiocondyla_thoracica	Cardiocondyla_mauritanica	1
2	Monomorium_cyaneum	40.1101	0.52578723694318	0.47421276305682	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Megalomyrmex	NA	1
3	Monomorium_hanneli	9.52347	0.146751147269828	0.853248852730172	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Syllophopsis	NA	1
3	Monomorium_hanneli	45.6534	0.754744992065435	0.245255007934565	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Myrmicaria	NA	1
2	Tranopelta_gilva	40.8797	0.688333271593921	0.311666728406079	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Ochetomyrmex	NA	1
24	Syllophopsis_ferodens	37.953945	0.565094485590561	0.434905514409439	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Monomorium	NA	1
13	Kempfidris_inusualis	10.887789	0.15813638124167	0.84186361875833	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Solenopsis	NA	1
18	Austromorium_flavigaster	11.884528	0.203870796464519	0.796129203535481	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Chelaner	NA	1
10	Axinidris_mlalu	22.222254	0.419099967552279	0.580900032447721	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Technomyrmex	NA	1
6	Liometopum_luctuosum	8.347817	0.163813557246597	0.836186442753403	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Tapinoma	NA	1
6	Vitsika_labes	6.034308819	0.493728643439467	0.506271356560533	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Malagidris_belti,Malagidris_jugum	Malagidris_belti	1
2	Trichomyrmex_destructor	5.757115092	0.434904391728751	0.565095608271249	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Metapone_madagascarica	NA	1
13	Vitsika_labes	2.529308947	0.168685379018138	0.831314620981862	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Royidris_longiseta,Royidris_notorthotenes	Royidris_longiseta	1
9	Simopone_nonnihil	9.170808133	0.127372335175248	0.872627664824752	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Tanipone_aglandula,Tanipone_scelesta	Tanipone_aglandula	1
16	Malagidris_dulcis	2.521536357	0.206312729820328	0.793687270179672	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Vitsika_producta,Vitsika_suspicax	Vitsika_brevis	1
10	Stigmatomma_roahady	6.982472627	0.140766386511013	0.859233613488987	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	crown	clade	Mystrium_mysticum,Mystrium_mirror	Mystrium_barrybressleri	1
8	Stigmatomma_sakalava	5.679869481	0.0977718026220857	0.902228197377914	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	clade	Adetomyrma_bressleri,Adetomyrma_caputleae	Adetomyrma_bressleri	1
3	Vitsika_labes	8.912668562	0.43525851546112	0.56474148453888	not_run	Input tree declared as chronogram.	NA	NA	NA	NA	NA	NA	NA	0	outgroup	tip	Eutetramorium_mocquerysi	NA	1
