step	function_raw	new_label	pre_dropped	sister_input	shape1	shape2	min_frac	max_frac	include_terminal	include_stem	edge_index	edge_length	chosen_frac	position_from_child	attach_age	where_node	new_tip_length	tree_depth	edge_type	reference	doi
63	graft sister to clade	Tyrannomyrmex	TRUE	Epelysidris,Erromyrma	1	1	0.8	0.9	NA	NA	119	0.0245247416800001	0.809636547486298	0.0198561271817886	1.07826601911821	417	0.194149982591789	1.27241600171	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
64	graft sister to tip	Unicumyrmex	TRUE	Tyrannomyrmex	1	1	0.8	0.9	NA	NA	121	0.1941499826	0.836849270109087	0.162474271230502	1.1099417304875	53	0.162474271230502	1.272416001718	NA	Chung et al (2025)	https://doi.org/10.25849/myrmecol.news_035:029
65	graft sister to tip	Chelaner	TRUE	Adelomyrmex	1	1	0.8	0.9	NA	NA	127	0.0312193858200001	0.814951724931598	0.0254422923253141	1.24697370824469	55	0.0254422934653142	1.27241600171	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
66	graft sister to tip	Baracidris	TRUE	Adelomyrmex	1	1	0.1	0.9	NA	NA	127	0.0254422923299999	0.242876860871911	0.00617934409449589	1.2662366564905	55	0.00617934523449604	1.272416001725	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
67	graft within clade random	Cryptomyrmex	TRUE	Adelomyrmex,Baracidris	1	1	0.1	0.9	TRUE	TRUE	128	0.00617934523399999	0.401109234243631	0.00247859243493677	1.26993740929406	56	0.00247859243493687	1.272416001729	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
68	graft sister to tip	Austromorium	TRUE	Oxyepoecus	1	1	0.8	0.9	NA	NA	141	0.1702258126	0.891973553341813	0.15183692293532	1.12057907758468	64	0.15183692413932	1.272416001724	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
69	graft within clade random	Bariamyrma	TRUE	Adelomyrmex,Rogeria	6	2	0.1	0.9	TRUE	TRUE	120	0.1624742712	0.3131776323542	0.0508833075728902	1.22153269411511	52	0.0508833076088904	1.272416001724	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
70	graft within clade random	Bondroitia	TRUE	Adelomyrmex,Stegomyrmex	1	1	0.1	0.9	TRUE	TRUE	146	0.4713860006	0.14422373957932	0.0679850517918716	1.20443094880813	69	0.0679850529158714	1.272416001724	terminal	Bolton (1987)	NA
71	graft sister to tip	Kempfidris	TRUE	Solenopsis	1	1	0.1	0.9	NA	NA	136	0.2953793843	0.78074235804379	0.230615197015905	1.0418008035241	62	0.230615198199905	1.272416001724	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
72	graft sister to tip	Tropidomyrmex	TRUE	Kempfidris	1	1	0.1	0.9	NA	NA	136	0.2306151982	0.640731238014996	0.14776236144776	1.12465364027224	62	0.14776236145176	1.272416001724	NA	Ward et al (2015)	https://doi.org/10.1111/syen.12090
73	graft within clade random	Syllophopsis	TRUE	Adelomyrmex,Monomorium	1	1	0.1	0.9	TRUE	TRUE	117	0.1742938554	0.35712570566684	0.0622448161031192	1.21017118559488	50	0.0622448161551195	1.27241600175	terminal	Ward et al (2015)	https://doi.org/10.1111/syen.12090
74	graft sister to tip	Chimaeridris	FALSE	Pheidole	1	1	0.1	0.9	NA	NA	71	0.4765630006	0.749704764783382	0.357281552269286	0.915134448330714	31	0.357281553443286	1.272416001774	NA	Wilson (1989)	NA
75	graft within clade random	Xymmer	TRUE	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	671	0.4242770006	0.831983582186513	0.352991498798537	0.919424501801463	334	0.352991499972537	1.272416001774	terminal	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
76	graft within clade random	Mystrium	TRUE	Adetomyrma,Myopopone	6	2	0.8	0.9	TRUE	TRUE	671	0.3529915	0.839823376457207	0.296450513390694	0.975965488409306	334	0.296450513390694	1.2724160018	terminal	Ward and Fisher (2016)	https://doi.org/10.1111%2Fsyen.12186
