pass	genus	action	reason	tip	tip_genus	core_node
22	Proceratium	drop_tip	minimal removal (kept 2 of Proceratium; core node 7800)	Proceratium_stictum	Proceratium	7800
23	Adelomyrmex	drop_tip	minimal removal (kept 1 of Adelomyrmex; core node 4102)	Adelomyrmex_dentivagans	Adelomyrmex	4102
23	Adelomyrmex	drop_tip	minimal removal (kept 1 of Adelomyrmex; core node 4102)	Adelomyrmex_longinoi	Adelomyrmex	4102
23	Adelomyrmex	drop_tip	minimal removal (kept 1 of Adelomyrmex; core node 4102)	Adelomyrmex_paratristani	Adelomyrmex	4102
24	Dinoponera	drop_tip	minimal removal (kept 2 of Dinoponera; core node 7920)	Dinoponera_grandis	Dinoponera	7920
24	Dinoponera	drop_tip	minimal removal (kept 2 of Dinoponera; core node 7920)	Dinoponera_gigantea	Dinoponera	7920
25	Eurhopalothrix	drop_tip	minimal removal (kept 1 of Eurhopalothrix; core node 4011)	Eurhopalothrix_bolaui	Eurhopalothrix	4011
25	Eurhopalothrix	drop_tip	minimal removal (kept 1 of Eurhopalothrix; core node 4011)	Eurhopalothrix_procera	Eurhopalothrix	4011
25	Eurhopalothrix	drop_tip	minimal removal (kept 1 of Eurhopalothrix; core node 4011)	Eurhopalothrix_australis	Eurhopalothrix	4011
26	Myrmicaria	drop_tip	minimal removal (kept 3 of Myrmicaria; core node 5292)	Myrmicaria_natalensis	Myrmicaria	5292
27	Opisthopsis	drop_tip	minimal removal (kept 4 of Opisthopsis; core node 6817)	Colobopsis_obliqua	Colobopsis	6817
28	Paratrechina	drop_tip	minimal removal (kept 3 of Paratrechina; core node 7062)	Paratrechina_ankarana	Paratrechina	7062
29	Cylindromyrmex	drop_tip	minimal removal (kept 3 of Cylindromyrmex; core node 7640)	Cylindromyrmex_striatus	Cylindromyrmex	7640
29	Cylindromyrmex	drop_tip	minimal removal (kept 3 of Cylindromyrmex; core node 7640)	Cylindromyrmex_meinerti	Cylindromyrmex	7640
30	Octostruma	drop_tip	minimal removal (kept 3 of Octostruma; core node 5194)	Octostruma_petiolata	Octostruma	5194
30	Octostruma	drop_tip	minimal removal (kept 3 of Octostruma; core node 5194)	Octostruma_amrishi	Octostruma	5194
31	Parasyscia	drop_tip	minimal removal (kept 4 of Parasyscia; core node 7753)	Parasyscia_imerinensis	Parasyscia	7753
32	Polyergus	drop_tip	minimal removal (kept 4 of Polyergus; core node 6994)	Polyergus_breviceps	Polyergus	6994
33	Procryptocerus	drop_tip	minimal removal (kept 4 of Procryptocerus; core node 4240)	Procryptocerus_pictipes	Procryptocerus	4240
34	Zasphinctus	drop_tip	minimal removal (kept 4 of Zasphinctus; core node 7743)	Zasphinctus_steinheili	Zasphinctus	7743
35	Acanthostichus	drop_tip	minimal removal (kept 5 of Acanthostichus; core node 7622)	Acanthostichus_serratulus	Acanthostichus	7622
36	Thaumatomyrmex	drop_tip	minimal removal (kept 5 of Thaumatomyrmex; core node 7824)	Thaumatomyrmex_atrox	Thaumatomyrmex	7824
37	Brachymyrmex	drop_tip	minimal removal (kept 6 of Brachymyrmex; core node 7167)	Brachymyrmex_cordemoyi	Brachymyrmex	7167
38	Azteca	drop_tip	minimal removal (kept 7 of Azteca; core node 7488)	Azteca_trigona	Azteca	7488
39	Forelius	drop_tip	minimal removal (kept 8 of Forelius; core node 7478)	Forelius_maranhaoensis	Forelius	7478
40	Prionopelta	drop_tip	minimal removal (kept 4 of Prionopelta; core node 7769)	Prionopelta_vampira	Prionopelta	7769
40	Prionopelta	drop_tip	minimal removal (kept 4 of Prionopelta; core node 7769)	Prionopelta_talos	Prionopelta	7769
40	Prionopelta	drop_tip	minimal removal (kept 4 of Prionopelta; core node 7769)	Prionopelta_xerosilva	Prionopelta	7769
40	Prionopelta	drop_tip	minimal removal (kept 4 of Prionopelta; core node 7769)	Prionopelta_antillana	Prionopelta	7769
40	Prionopelta	drop_tip	minimal removal (kept 4 of Prionopelta; core node 7769)	Prionopelta_laurae	Prionopelta	7769
41	Paraparatrechina	drop_tip	minimal removal (kept 9 of Paraparatrechina; core node 7020)	Paraparatrechina_ocellatula	Paraparatrechina	7020
42	Solenopsis	drop_tip	minimal removal (kept 14 of Solenopsis; core node 5269)	Solenopsis_bicolor	Solenopsis	5269
43	Melophorus	drop_tip	minimal removal (kept 24 of Melophorus; core node 6986)	Melophorus_hirsutus	Melophorus	6986
44	Myrmecocystus	drop_tip	minimal removal (kept 24 of Myrmecocystus; core node 7081)	Myrmecocystus_mimicus	Myrmecocystus	7081
