taxon,birth,death,ccp,source
Dacatria,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dacetinops,0.44638922694031546,0.3651456680463725,0.4444444444444444,from Formicidae (crown capture probability)
Daceton,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Diacamma,1.0000000282819324,1.0000000272819323,0.8355555555555556,computed
Diaphoromyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dicroaspis,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Dilobocondyla,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Dinomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dinoponera,0.44638922694031546,0.3651456680463725,0.4285714285714286,from Formicidae (crown capture probability)
Diplomorium,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Discothyrea,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Doleromyrma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Dolichoderus,0.44638922694031546,0.3651456680463725,0.7615384615384615,from Formicidae (crown capture probability)
Dolioponera,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dolopomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dorylus,0.5670782805988476,0.3748122131291178,0.9046610169491526,computed
Dorymyrmex,0.14231715697032735,0.0,0.96875,computed
Eburopone,0.44638922694031546,0.3651456680463725,0.75,from Formicidae (crown capture probability)
Echinopla,0.44638922694031546,0.3651456680463725,0.35238095238095235,from Formicidae (crown capture probability)
Eciton,0.33856592155661236,0.0,0.9191919191919192,computed
Ecphorella,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Ectatomma,0.13117249818274854,0.0,0.9795918367346939,computed
Ectomomyrmex,0.24824534538353976,0.05345160027566888,0.9423076923076923,computed
Emeryopone,0.44638922694031546,0.3651456680463725,0.5,from Formicidae (crown capture probability)
Epelysidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Epopostruma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Erromyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Euponera,0.15602023623762776,0.0,1.0,computed
Euprenolepis,0.44638922694031546,0.3651456680463725,0.4285714285714286,from Formicidae (crown capture probability)
Eusphinctus,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Eutetramorium,0.018542406164325835,0.0,1.0,computed
Feroponera,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Fisheropone,0.06298381711204659,0.0,0.8441558441558441,computed
Forelius,0.3271238774139764,0.0,0.8641975308641976,computed
Formica,0.5160710601056843,0.0,0.9850765693462322,computed
Formicoxenus,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
Formosimyrma,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Froggattella,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Fulakora,0.44638922694031546,0.3651456680463725,0.7714285714285715,from Formicidae (crown capture probability)
Gaoligongidris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (cherry)
Gauromyrmex,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (crown capture probability)
