Subfamily	MRCA	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Input_tree_type	Stem_mode	Phylogeny_file_path	Notes	Original_Tree
Myrmicinae	Temnothorax_unifasciatus	NA	Csosz 2024	UCEs	chronogram	crown	project/published/temnothorax/csosz2024/Csosz_et_al_unifasciatus_no_outgroup.nwk		
Myrmicinae	Apterostigma,Acromyrmex	NA	Hanisch et al 2022	UCEs	chronogram	crown	project/published/attini/hanisch2022/extract_mrca_Mycocepurus_goeldii_1495-Pseudoatta_sp_nov_1478_20260530-141054_with_outgroup.tre		
Hard	Pheidole_longispinosa,Pheidole_grallatrix	NA	Camacho et al 2024	UCEs	chronogram	crown	project/published/mami-madagascar/camacho2024/extract_mrca_Pheidole_diakritos-Pheidole_andapa_20260418-151451_with_outgroup.tre		
Dorylinae	Dorylus,Eciton	NA	Borowiec 2019	UCEs	chronogram	crown	project/published/dorylinae/borowiec2019/dorylinae-orignal-chronogram-rapax-removed.nwk		
Dorylinae	ECITON	NA	Winston et al 2017						
Dorylinae	SYSCIA	NA	Longino and Branstetter 2021					embargoed	
Dorylinae	LEPTANILLINAE	NA	Griebenow 2026						
Leptanillinae	MYRMECOCYSTUS	NA	Van Elst 2021	UCEs	chronogram	outgroup			
Formicinae	Linepithema	NA	Wild 2009	Multilocus					
Dolichoderinae	Ocymyrmex_celer,Ocymyrmex_picardi	NA	Mbanyana et al 2024	UCEs	chronogram	outgroup	project/published/ocymyrmex/mbanyana2024/extract_mrca_Ocymyrmex_sp_2_HYM_C027808_Ocy103-Ocymyrmex_celer_BBC660_20260409-142001_with_outgroup.tre		
	Sericomyrmex_scrobifer,Sericomyrmex_mayri	NA	Jesovnik et al 2017	UCEs	chronogram	crown	project/published/sericomyrmex/jesovnik2017/extract_mrca_Sericomyrmex_saramama_938_1526_PE-Sericomyrmex_saussurei_921_1524_PE_20260413-140222_with_outgroup.tre	https://doi.org/10.1111/syen.12228	
