Subfamily	Genus	Species_subspecies_no	Species_no	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Phylogeny_file_path	Notes
Ponerinae	Hypoponera	177	155		Dore et al 2025	UCEs	genus_studies/hypoponera/dore2025/Hypoponera_with_outgroup.tre	Available
Formicinae	Iberoformica	1	1					
Ponerinae	Igaponera	1	1					
Myrmicinae	Indomyrma	2	2					
Dolichoderinae	Iridomyrmex	80	79					
Ponerinae	Iroponera	1	1					
Myrmicinae	Ishakidris	1	1					
Myrmicinae	Kalathomyrmex	1	1					
Myrmicinae	Kartidris	6	6					
Myrmicinae	Kempfidris	1	1					
Dorylinae	Labidus	9	8					
Myrmicinae	Lachnomyrmex	16	16					
Myrmicinae	Lasiomyrma	4	4					
Formicinae	Lasiophanes	6	6					
Formicinae	Lasius	141	140		Boudinot et al	Multilocus	genus_studies/lasius/boudinot2022/Lasius_with_outgroup.tre	Not available, received by email
Formicinae	Lathidris	3	3					
Myrmicinae	Lenomyrmex	7	7					
Formicinae	Lepisiota	147	102					
Leptanillinae	Leptanilla	66	66		Griebenow?			
Dorylinae	Leptanilloides	19	19					
Ponerinae	Leptogenys	334	320		Dore et al 2025	UCEs	genus_studies/leptogenys/dore2025/Leptogenys_with_outgroup.tre	Available
Dolichoderinae	Leptomyrmex	28	28		Lucky 2011			
Myrmicinae	Leptothorax	20	20					
Dolichoderinae	Linepithema	22	22		Wild 2009			
Dolichoderinae	Liometopum	7	7					
Myrmicinae	Liomyrmex	1	1					
Dorylinae	Lioponera	76	76		Borowiec 2019	UCEs	genus_studies/lioponera/borowiec2019/Lioponera_with_outgroup.tre	Available
Dorylinae	Lividopone	1	1					
Ponerinae	Loboponera	9	9					
Myrmicinae	Lophomyrmex	13	13					
Myrmicinae	Lordomyrma	36	36					
Dolichoderinae	Loweriella	1	1					
Ponerinae	Makebapone	1	1					
Myrmicinae	Malagidris	6	6					
Myrmicinae	Manica	6	6					
Martialinae	Martialis	1	1					
Ponerinae	Mayaponera	7	7					
Myrmicinae	Mayriella	9	9					
Myrmicinae	Megalomyrmex	45	45					
Ponerinae	Megaponera	6	1					
Myrmicinae	Melissotarsus	4	4					
Formicinae	Melophorus	92	92					
Myrmicinae	Meranoplus	93	93					
Ponerinae	Mesoponera	26	20		Dore et al 2025			
Myrmicinae	Mesostruma	9	9					
Myrmicinae	Messor	170	132		Juve 2025	UCEs	genus_studies/messor/juve2025/Messor_with_outgroup.tre	Available
Formicinae	Metalasius	1	1					
Myrmicinae	Metapone	33	33					
Myrmicinae	Microdaceton	4	4					
Myrmicinae	Monomorium	321	299					
Myrmicinae	Mycetagroicus	4	4					
Myrmicinae	Mycetarotes	4	4					
Myrmicinae	Mycetomoellerius	33	32					
Myrmicinae	Mycetophylax	21	21					
Myrmicinae	Mycetosoritis	2	2					
Myrmicinae	Mycocepurus	6	6					
Ponerinae	Myopias	48	46		Dore et al 2025			
Amblyoponinae	Myopopone	1	1					
Pseudomyrmecinae	Myrcidris	1	1					
Myrmeciinae	Myrmecia	93	93		Mera-Rodríguez et al 2023	UCEs	genus_studies/myrmecia/mera-rodriguez2023/Myrmecia_with_outgroup.tre	Not available, received by email
Myrmicinae	Myrmecina	106	105					
Formicinae	Myrmecocystus	31	31		van Elst et al 2021		X	
Formicinae	Myrmecorhynchus	3	3					
Formicinae	Myrmelachista	69	56					
Myrmicinae	Myrmica	214	212		Jansen 2010			Not available
Myrmicinae	Myrmicaria	71	38					
Myrmicinae	Myrmicocrypta	31	27					
Formicinae	Myrmoteras	42	42					
Amblyoponinae	Mystrium	14	14					
Dolichoderinae	Nebothriomyrmex	1	1					
Dorylinae	Neivamyrmex	130	129					
Dorylinae	Neocerapachys	2	2					
Ponerinae	Neoponera	58	58		Dore et al 2025	UCEs		nonmonophyletic
Myrmicinae	Nesomyrmex	87	86					
Ponerinae	NewGenus	1	1					
Dorylinae	Nomamyrmex	2	2					
Myrmeciinae	Nothomyrmecia	1	1					
Formicinae	Notoncus	6	6					
Formicinae	Notostigma	2	2					
Myrmicinae	Novomessor	3	3					
Formicinae	Nylanderia	158	133		Williams et al 2020	UCEs	genus_studies/nylanderia/williams2020/Nylanderia_with_outgroup.tre	Not available, received by email
Dolichoderinae	Ochetellus	10	7					
Myrmicinae	Ochetomyrmex	2	2					
Myrmicinae	Octostruma	35	35					
Myrmicinae	Ocymyrmex	34	34		Mbanyana et al 2024	UCEs		
Ponerinae	Odontomachus	81	81		Dore et al 2025	UCEs	genus_studies/odontomachus/dore2025/Odontomachus_with_outgroup.tre	Available
Ponerinae	Odontoponera	4	2					
Formicinae	Oecophylla	15	3					
Amblyoponinae	Onychomyrmex	4	4					
Dorylinae	Ooceraea	18	18					
Leptanillinae	Opamyrma	1	1					
Ponerinae	Ophthalmopone	6	5					
Formicinae	Opisthopsis	20	13					
Myrmicinae	Orectognathus	29	29					
Formicinae	Overbeckia	3	3					
Myrmicinae	Oxyepoecus	21	21					
Myrmicinae	Oxyopomyrmex	14	14					
Ponerinae	Pachycondyla	18	18					
Ponerinae	Paltothyreus	7	1					
Dolichoderinae	Papyrius	5	2					
Myrmicinae	Paramycetophylax	1	1					
Formicinae	Paraparatrechina	43	39					
Paraponerinae	Paraponera	1	1					
